Date,title
2024-11-01,"Bolsa mexicana retrocede por cuarta sesión, perfila caída semanal - Milenio"
2024-11-01,Wall Street: S&P 500 pierde 1.4% semanal; la BMV cae 2.24% en semana de Día de Muertos - El Financiero
2024-11-01,BMV extiende su racha negativa y cierra la semana con pérdidas - Infobae México
2024-11-01,¿Cuál es el horario de la BMV? Bolsa Mexicana ajusta jornada de operación ante cambio en EE.UU. - Bloomberg Línea México
2024-11-01,Bolsa Mexicana vuelve a cerrar en negativo: Acumula más de una semana de pérdidas - Líder Empresarial
2024-11-01,BMV rompe racha negativa y comienza el mes en verde - Infobae México
2024-10-31,BMV arranca el día en rojo y suma cuatro jornadas consecutivas con bajadas - Infobae México
2024-10-31,Bolsa mexicana registra en octubre una caída de 3.46% - El Economista
2024-10-30,Bolsa mexicana cae tras fin de temporada de reportes trimestrales - Milenio
2024-10-30,BMV extiende su racha negativa y ya suma tres jornadas en rojo - Infobae México
2024-11-01,Bolsas de México ligaron tres jornadas con pérdidas - El Economista
2024-10-29,BMV abre la jornada en rojo y suma su segundo día consecutivo con pérdidas - Infobae México
2024-10-28,BMV rompe racha positiva y comienza la semana con pérdidas - Infobae México
2024-10-31,"El indicador de referencia de la bolsa mexicana cerró este 31 de octubre con baja de 0,26% - Infobae México"
2024-10-30,"El indicador de referencia de la BMV cerró este 30 de octubre con baja de 0,49% - Infobae México"
2024-10-29,"El indicador de referencia de la BMV cerró este 29 de octubre con baja de 1,27% - Infobae México"
2024-11-01,BMV volverá a operar en horario habitual por fin de horario de verano EUA - AXIS Negocios
2024-10-29,Bolsa mexicana cae en último día de reportes trimestrales - Milenio
2024-10-28,"Bolsa mexicana desciende por sexta sesión, atenta a resultados trimestrales - Milenio"
2024-11-01,"Bolsa mexicana abre noviembre con caída del 0,08 % y cierra semana con pérdida del 2,24 % Por EFE - Investing.com España"
2024-11-01,BMV registra segunda semana de pérdidas - CódigoQro
2024-10-29,Cierre del principal indicador de la BMV este 28 de octubre - Infobae México
2024-11-02,BMV cierra en rojo y peso pierde terreno ante el dólar este 1 de noviembre - TV Azteca
2024-10-30,BMV extiende su caída; destacan pérdidas de Orbia - El Economista
2024-10-31,"Bolsa Mexicana de Valores, liderando el futuro bursátil de México desde hace 130 años - Al Momento Noticias"
